"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00381647130405295 3 19 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.116459431653576
0 0.290132817941381 2 12 "GO:0000395" "mRNA 5'-splice site recognition" 0.997804766471965
0 0.893013075621077 3 47 "GO:0000413" "protein peptidyl-prolyl isomerization" 1
0 0.0145345843904452 8 14 "GO:0000414" "regulation of histone H3-K36 methylation" 0.23881960219363
0 0.144013072257947 2 5 "GO:0000416" "positive regulation of histone H3-K36 methylation" 0.767707526807454
0 0.87448440203858 2 93 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 0.586388981834757 3 15 "GO:0000423" "mitophagy" 1
0 0.944592921448514 3 11 "GO:0000430;GO:0000432" "regulation of transcription from RNA polymerase II promoter by glucose" 1
0 0.991722978059008 9 15 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.429779042721485 3 5 "GO:0000448" "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.276146946874216 4 6 "GO:0000451" "rRNA 2'-O-methylation" 0.997804766471965
0 0.945045900584417 2 8 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 1
0 0.429779042721485 4 5 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 1
0 0.117065824747543 4 10 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.710204491615708
0 0.88950565371847 2 54 "GO:0000460" "maturation of 5.8S rRNA" 1
0 1 3 5 "GO:0000461" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.994782301621242 3 56 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.892232472242014 2 20 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.804895044857131 2 37 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.555531360850368 3 41 "GO:0000469" "cleavage involved in rRNA processing" 1
0 0.945085270328607 2 45 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.839512420064849 2 26 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 1
0 0.908919373624042 2 7 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.00256561576698724 2 17 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.0879297791782754
0 0.418226486178058 9 7 "GO:0000495;GO:0034964;GO:0033979" "box H/ACA RNA metabolic process" 1
0 0.00422085250882305 4 482 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.123861119148689
0 0.129363343983672 6 12 "GO:0000706" "meiotic DNA double-strand break processing" 0.751076052142874
0 0.284553619296251 6 8 "GO:0000707" "meiotic DNA recombinase assembly" 0.997804766471965
0 0.60871759645443 5 13 "GO:0000711" "meiotic DNA repair synthesis" 1
0 0.520388354665122 2 23 "GO:0000712" "resolution of meiotic recombination intermediates" 1
0 0.0789815769407839 4 43 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.573474928222214
0 0.00381647130405295 3 19 "GO:0000722" "telomere maintenance via recombination" 0.116459431653576
0 0.000211835861297147 2 155 "GO:0000723;GO:0032200" "telomere organization" 0.0155656990881144
0 0.000292289771301715 2 156 "GO:0000724;GO:0000725" "recombinational repair" 0.0190402946766401
0 2.26678814494145e-05 3 93 "GO:0000726;GO:0006303" "non-recombinational repair" 0.00306183075165989
0 0.707299627861774 2 7 "GO:0000727" "double-strand break repair via break-induced replication" 1
0 0.00850840533210037 5 32 "GO:0000729" "DNA double-strand break processing" 0.18006844003535
