"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.109227772379248 8 14 "GO:0000414" "regulation of histone H3-K36 methylation" 1
0 0.187793483336199 2 5 "GO:0000416" "positive regulation of histone H3-K36 methylation" 1
0 0.178766550514417 2 93 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 0.12276052880303 3 15 "GO:0000423" "mitophagy" 1
0 1 3 11 "GO:0000430;GO:0000432" "regulation of transcription from RNA polymerase II promoter by glucose" 1
0 0.0212648556246633 9 15 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.58028194718657
0 1 3 5 "GO:0000448" "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.00122982552700845 4 6 "GO:0000451" "rRNA 2'-O-methylation" 0.0738297219972066
0 0.283100576127186 2 8 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 1
0 1 4 5 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 1
0 0.000472569384446233 4 10 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0364450369197173
0 0.000305229695200687 2 54 "GO:0000460" "maturation of 5.8S rRNA" 0.0254866795492574
0 1 3 5 "GO:0000461" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.00040432356952124 3 56 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0325764209302859
0 1 2 20 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.000644463187143517 2 37 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0455338028762554
0 3.23182679440721e-05 3 41 "GO:0000469" "cleavage involved in rRNA processing" 0.0044304968815866
0 0.552325667532351 2 45 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.00358282651272521 2 26 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.168665686670299
0 8.69151434049451e-05 2 7 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.00973555600212708
0 0.150902776785551 2 17 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 1
0 1 9 7 "GO:0000495;GO:0034964;GO:0033979" "box H/ACA RNA metabolic process" 1
0 0.182626838128612 4 482 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 1
0 1 6 12 "GO:0000706" "meiotic DNA double-strand break processing" 1
0 1 6 8 "GO:0000707" "meiotic DNA recombinase assembly" 1
0 1 5 13 "GO:0000711" "meiotic DNA repair synthesis" 1
0 0.616004941344869 2 23 "GO:0000712" "resolution of meiotic recombination intermediates" 1
0 0.527651880169029 4 43 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 1
0 0.546431837902792 3 19 "GO:0000722" "telomere maintenance via recombination" 1
0 0.052705183791415 2 155 "GO:0000723;GO:0032200" "telomere organization" 0.942950077532589
0 0.187083965423591 2 156 "GO:0000724;GO:0000725" "recombinational repair" 1
0 0.0852408125885623 3 93 "GO:0000726;GO:0006303" "non-recombinational repair" 1
0 0.252642631197064 2 7 "GO:0000727" "double-strand break repair via break-induced replication" 1
0 0.736018856421073 5 32 "GO:0000729" "DNA double-strand break processing" 1
0 1 5 11 "GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 1
0 0.0191477139183217 6 115 "GO:0000731;GO:0006301;GO:0019985" "postreplication repair" 0.553055824967877
0 0.486106477590829 6 16 "GO:0000733" "DNA strand renaturation" 1
0 0.36728236495711 5 53 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 1 4 8 "GO:0000741;GO:0007344" "karyogamy" 1
0 0.977890498209359 3 252 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 1 3 12 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 1
0 0.997498002674641 4 3057 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667" "cell morphogenesis involved in differentiation" 1
0 0.556944150451196 2 71 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 1
0 0.587598241120108 5 48 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 0.502071198962403 2 41 "GO:0000920" "septum digestion after cytokinesis" 1
0 9.51868589519321e-14 2 461 "GO:0000956;GO:0006402;GO:0006401" "RNA catabolic process" 5.14288999690292e-11
0 0.0223015272027065 5 6 "GO:0000957;GO:0000958;GO:0000960" "mitochondrial RNA catabolic process" 0.58028194718657
0 6.71577758231756e-05 2 66 "GO:0000959" "mitochondrial RNA metabolic process" 0.00813997839809616
0 0.121650555062665 7 30 "GO:0000963" "mitochondrial RNA processing" 1
0 0.283100576127186 2 8 "GO:0000964;GO:0097745" "mitochondrial RNA 5'-end processing" 1
0 0.0961286202156029 2 13 "GO:0000965" "mitochondrial RNA 3'-end processing" 1
0 0.0323465007319354 2 30 "GO:0000966;GO:0099116;GO:0034471" "RNA 5'-end processing" 0.719376777779241
0 1 4 14 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 1 2 6 "GO:0000973" "posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 0.999199562895885 3 992 "GO:0001101" "response to acid chemical" 1
0 0.283100576127186 4 8 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "promoter clearance from RNA polymerase II promoter" 1
0 0.0723037785720416 2 24 "GO:0001178" "regulation of transcriptional start site selection at RNA polymerase II promoter" 1
0 0.441499613436689 6 14 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 1
0 1 -1 7 "GO:0001302" "obsolete replicative cell aging" 1
0 0.0835242250539907 2 12 "GO:0001306;GO:0007571" "age-dependent response to oxidative stress" 1
0 0.464266690910521 5 15 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 1
0 0.999999708079726 4 1213 "GO:0001501" "skeletal system development" 1
0 1 3 72 "GO:0001502;GO:0098743" "cell aggregation" 1
0 0.999823345027636 2 452 "GO:0001503" "ossification" 1
0 1 2 42 "GO:0001504" "neurotransmitter uptake" 1
0 0.999994641758644 3 1104 "GO:0001505" "regulation of neurotransmitter levels" 1
0 1 3 6 "GO:0001507;GO:0006581" "acetylcholine catabolic process in synaptic cleft" 1
0 0.999993059642693 4 350 "GO:0001508" "action potential" 1
0 1.23502204279135e-05 6 88 "GO:0001510" "RNA methylation" 0.00189061291050643
0 1 6 9 "GO:0001514" "selenocysteine incorporation" 1
0 0.818546541040647 4 41 "GO:0001516;GO:0046457" "prostanoid biosynthetic process" 1
0 0.286468787115646 2 26 "GO:0001522" "pseudouridine synthesis" 1
0 0.999499648242219 2 608 "GO:0001525" "angiogenesis" 1
0 0.510858475739315 2 165 "GO:0001541" "ovarian follicle development" 1
0 0.646684160954443 2 25 "GO:0001542" "ovulation from ovarian follicle" 1
0 0.283100576127186 2 8 "GO:0001545" "primary ovarian follicle growth" 1
0 1 2 20 "GO:0001547" "antral ovarian follicle growth" 1
0 1 4 8 "GO:0001550;GO:0048165" "fused antrum stage" 1
0 1 2 5 "GO:0001552" "ovarian follicle atresia" 1
0 0.852669450769708 2 46 "GO:0001553" "luteinization" 1
0 1 3 20 "GO:0001554" "luteolysis" 1
0 0.674914298775854 2 27 "GO:0001555" "oocyte growth" 1
0 0.972209151351941 3 86 "GO:0001556" "oocyte maturation" 1
0 0.437095866419836 4 1411 "GO:0001558" "regulation of cell growth" 1
0 1 2 10 "GO:0001560" "regulation of cell growth by extracellular stimulus" 1
0 0.22530917177313 2 22 "GO:0001561" "fatty acid alpha-oxidation" 1
0 1 2 35 "GO:0001562;GO:0042832" "response to protozoan" 1
0 0.999994959100247 2 1177 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 1
0 0.755203246410738 2 96 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 1 3 223 "GO:0001570" "vasculogenesis" 1
0 1 2 30 "GO:0001573" "ganglioside metabolic process" 1
0 1 3 18 "GO:0001574" "ganglioside biosynthetic process" 1
0 0.989290410241347 3 240 "GO:0001578" "microtubule bundle formation" 1
0 1 2 8 "GO:0001579" "medium-chain fatty acid transport" 1
0 1 3 28 "GO:0001580;GO:0050912" "detection of chemical stimulus involved in sensory perception of taste" 1
0 0.965869178537241 3 201 "GO:0001649" "osteoblast differentiation" 1
0 0.999619545251768 3 2124 "GO:0001654" "eye development" 1
0 0.99999881727397 2 1051 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.999271053818147 5 230 "GO:0001656" "metanephros development" 1
0 0.99800146391309 5 250 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephros development" 1
0 0.943881724320567 2 111 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 1 2 77 "GO:0001659" "temperature homeostasis" 1
0 1 4 9 "GO:0001660" "fever generation" 1
0 0.661092775907995 2 26 "GO:0001661" "conditioned taste aversion" 1
0 0.614879424498154 2 130 "GO:0001662;GO:0002209;GO:0042596" "fear response" 1
0 0.895576920045217 2 1091 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.999724282937984 4 1139 "GO:0001667" "ameboidal-type cell migration" 1
0 0.369698285850993 2 98 "GO:0001672" "regulation of chromatin assembly or disassembly" 1
0 1 4 30 "GO:0001675" "acrosome assembly" 1
0 0.760301821287443 4 183 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.150902776785551 2 17 "GO:0001682" "tRNA 5'-leader removal" 1
0 1 3 7 "GO:0001692" "histamine metabolic process" 1
0 1 5 18 "GO:0001696" "gastric acid secretion" 1
0 0.883156300302767 2 619 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.647359252042878 2 904 "GO:0001701" "in utero embryonic development" 1
0 0.928755167669989 5 104 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.93113076541712 5 105 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 1
0 0.935238095098323 2 428 "GO:0001704" "formation of primary germ layer" 1
0 1 4 18 "GO:0001705" "ectoderm formation" 1
0 0.798316704005396 2 163 "GO:0001706;GO:0035987" "endoderm formation" 1
0 0.957558236706746 3 294 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 1
0 0.995520100476232 2 621 "GO:0001708" "cell fate specification" 1
0 0.989610747099906 2 518 "GO:0001709" "cell fate determination" 1
0 0.740839907874454 2 64 "GO:0001710;GO:0007501" "mesodermal cell fate commitment" 1
0 0.65183300378344 2 54 "GO:0001711;GO:0001714" "endodermal cell fate commitment" 1
0 1 2 10 "GO:0001712" "ectodermal cell fate commitment" 1
0 1 4 6 "GO:0001715" "ectodermal cell fate specification" 1
0 0.0797755420121236 4 25 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.880785377672212 2 450 "GO:0001736;GO:0007164;GO:0001738" "morphogenesis of a polarized epithelium" 1
0 0.68609144288818 4 86 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 1
0 0.910651000409461 3 58 "GO:0001742" "oenocyte differentiation" 1
0 1 3 15 "GO:0001743" "optic placode formation" 1
0 1 3 7 "GO:0001744" "optic lobe placode formation" 1
0 0.994133589845752 2 1102 "GO:0001745;GO:0048749" "compound eye development" 1
0 1 6 25 "GO:0001746;GO:0055034" "Bolwig's organ development" 1
0 1 2 6 "GO:0001748" "optic lobe placode development" 1
