delta.rank,pval,level,nseqs,term,name,p.adj
0,0.954070636,2,32,GO:0032309;GO:0050482;GO:1903963,icosanoid secretion,1
0,0.610274031,2,22,GO:0032328,alanine transport,1
0,0.87615256,3,18,GO:0032344;GO:0032347,regulation of aldosterone metabolic process,1
0,1,2,6,GO:0032346;GO:0032349,positive regulation of aldosterone metabolic process,1
0,0.667069237,2,41,GO:0032351;GO:0032353,negative regulation of hormone metabolic process,1
0,0.765203568,4,33,GO:0032366;GO:0032367,intracellular sterol transport,1
0,0.750716776,4,20,GO:0032372;GO:0032375,negative regulation of sterol transport,1
0,0.554486857,2,297,GO:0032411;GO:0032414,positive regulation of transporter activity,1
0,0.765119441,5,7,GO:0032423,regulation of mismatch repair,1
0,0.807555627,2,22,GO:0032429,regulation of phospholipase A2 activity,1
0,0.955167254,7,15,GO:0032430,positive regulation of phospholipase A2 activity,1
0,1,2,8,GO:0032431,activation of phospholipase A2 activity,1
0,0.633527521,2,533,GO:0032434;GO:0061136;GO:2000058,regulation of proteasomal protein catabolic process,1
0,0.99964305,2,80,GO:0032435,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,1
0,0.640119961,3,40,GO:0032461,positive regulation of protein oligomerization,1
0,0.854481282,2,17,GO:0032464,positive regulation of protein homooligomerization,1
0,0.826322867,2,236,GO:0032465,regulation of cytokinesis,1
0,0.767260554,2,14,GO:0032466,negative regulation of cytokinesis,1
0,0.793624641,3,106,GO:0032467,positive regulation of cytokinesis,1
0,1,2,8,GO:0032470;GO:1903515,calcium ion transport from cytosol to endoplasmic reticulum,1
0,0.800467268,2,15,GO:0032471,negative regulation of endoplasmic reticulum calcium ion concentration,1
0,1,3,5,GO:0032484,Ral protein signal transduction,1
0,0.551416908,2,15,GO:0032489,regulation of Cdc42 protein signal transduction,1
0,0.998221357,2,117,GO:0032508;GO:0032392,DNA geometric change,1
0,0.831615206,2,23,GO:0032510,endosome to lysosome transport via multivesicular body sorting pathway,1
0,0.575549476,2,109,GO:0032515;GO:0035308,negative regulation of protein dephosphorylation,1
0,0.924542525,4,43,GO:0032516,positive regulation of phosphoprotein phosphatase activity,1
0,0.621168675,2,28,GO:0032530,regulation of microvillus organization,1
0,0.873772159,3,10,GO:0032532,regulation of microvillus length,1
0,0.980416897,2,19,GO:0032536,regulation of cell projection size,1
0,0.551416908,2,15,GO:0032606,type I interferon production,1
0,1,6,7,GO:0032607,interferon-alpha production,1
0,0.999529626,2,37,GO:0032609,interferon-gamma production,1
0,0.809648804,4,35,GO:0032611;GO:0032612,interleukin-1 production,1
0,1,2,6,GO:0032621,interleukin-18 production,1
0,0.944853922,3,14,GO:0032633,interleukin-4 production,1
0,0.800467268,2,15,GO:0032635,interleukin-6 production,1
0,0.71110698,3,6,GO:0032641,lymphotoxin A production,1
0,0.910818511,2,20,GO:0032650;GO:0032730,regulation of interleukin-1 alpha production,1
0,0.795405501,2,28,GO:0032660;GO:0032700,regulation of interleukin-17 production,1
0,0.916566162,2,12,GO:0032667,regulation of interleukin-23 production,1
0,0.975911184,4,18,GO:0032696;GO:0032714,negative regulation of interleukin-13 production,1
0,0.84710803,4,37,GO:0032703,negative regulation of interleukin-2 production,1
0,1,4,6,GO:0032707,negative regulation of interleukin-23 production,1
0,0.684470076,2,30,GO:0032717,negative regulation of interleukin-8 production,1
0,0.604256353,4,61,GO:0032728,positive regulation of interferon-beta production,1
0,0.932168681,3,13,GO:0032740,positive regulation of interleukin-17 production,1
0,0.765119441,3,7,GO:0032741,positive regulation of interleukin-18 production,1
0,0.71110698,9,6,GO:0032762;GO:1904341;GO:1904343,regulation of colon smooth muscle contraction,1
0,0.684470076,2,30,GO:0032769,negative regulation of monooxygenase activity,1
0,1,8,13,GO:0032776,DNA methylation on cytosine,1
0,0.581025676,5,49,GO:0032780,negative regulation of ATPase activity,1
0,0.964294218,3,180,GO:0032781,positive regulation of ATPase activity,1
0,0.637737487,2,11,GO:0032782,bile acid secretion,1
0,1,2,13,GO:0032790,ribosome disassembly,1
0,0.932168681,-1,13,GO:0032800,obsolete receptor biosynthetic process,1
0,0.765119441,4,7,GO:0032804;GO:2000645,negative regulation of low-density lipoprotein particle receptor catabolic process,1
0,0.729335926,2,13,GO:0032847,regulation of cellular pH reduction,1
0,1,7,9,GO:0032849,positive regulation of cellular pH reduction,1
0,0.914724416,3,42,GO:0032875,regulation of DNA endoreduplication,1
0,0.910818511,3,20,GO:0032876,negative regulation of DNA endoreduplication,1
0,0.551416908,2,15,GO:0032877,positive regulation of DNA endoreduplication,1
0,0.541515563,4,699,GO:0032886;GO:0070507,regulation of microtubule-based process,1
0,0.554273495,3,48,GO:0032887;GO:0032888,regulation of spindle elongation,1
0,0.627766542,4,112,GO:0032892,positive regulation of organic acid transport,1
0,1,3,5,GO:0032898;GO:0032902,nerve growth factor production,1
0,0.844741236,4,9,GO:0032899,regulation of neurotrophin production,1
0,0.809035153,4,8,GO:0032917;GO:0032918,polyamine acetylation,1
0,0.681646333,4,24,GO:0032927,positive regulation of activin receptor signaling pathway,1
0,0.822940755,4,42,GO:0032941,secretion by tissue,1
0,0.641242789,4,17,GO:0032957,inositol trisphosphate metabolic process,1
0,0.963552111,2,16,GO:0032960;GO:0032962,regulation of inositol trisphosphate biosynthetic process,1
0,1,3,8,GO:0032971,regulation of muscle filament sliding,1
0,1,2,12,GO:0032980,keratinocyte activation,1
0,0.914043969,2,470,GO:0032984,protein-containing complex disassembly,1
0,0.998674419,2,32,GO:0032988,ribonucleoprotein complex disassembly,1
0,0.556494126,2,59,GO:0033002,muscle cell proliferation,1
0,0.844741236,2,9,GO:0033029;GO:0033031,regulation of neutrophil apoptotic process,1
0,0.999977642,2,885,GO:0033044,regulation of chromosome organization,1
0,0.998193935,3,94,GO:0033046;GO:0051985,negative regulation of chromosome segregation,1
0,0.936031757,3,208,GO:0033047,regulation of mitotic sister chromatid segregation,1
0,0.995774552,4,64,GO:0033048,negative regulation of mitotic sister chromatid segregation,1
0,0.993240612,2,44,GO:0033058,directional locomotion,1
0,0.910818511,6,20,GO:0033085,negative regulation of T cell differentiation in thymus,1
0,0.583462932,3,10,GO:0033087;GO:0033088,negative regulation of immature T cell proliferation in thymus,1
0,0.844102282,5,134,GO:0033108,mitochondrial respiratory chain complex assembly,1
0,0.999984966,2,118,GO:0033119;GO:0048025;GO:0050686,negative regulation of mRNA processing,1
0,0.999822109,2,102,GO:0033120,positive regulation of RNA splicing,1
0,0.767260554,2,14,GO:0033128,negative regulation of histone phosphorylation,1
0,0.844741236,4,9,GO:0033132;GO:1903300,negative regulation of glucokinase activity,1
0,0.702703578,2,77,GO:0033137,negative regulation of peptidyl-serine phosphorylation,1
0,1,2,21,GO:0033139;GO:0033141,regulation of peptidyl-serine phosphorylation of STAT protein,1
0,0.925719449,6,50,GO:0033145,positive regulation of intracellular steroid hormone receptor signaling pathway,1
0,0.621797064,3,84,GO:0033146,regulation of intracellular estrogen receptor signaling pathway,1
0,0.765203568,2,33,GO:0033147,negative regulation of intracellular estrogen receptor signaling pathway,1
0,0.529794593,2,20,GO:0033148,positive regulation of intracellular estrogen receptor signaling pathway,1
0,0.740201537,3,32,GO:0033151,V(D)J recombination,1
0,0.981057373,2,29,GO:0033169,histone H3-K9 demethylation,1
0,0.987057965,2,21,GO:0033182,regulation of histone ubiquitination,1
0,1,4,6,GO:0033183;GO:1901314;GO:1901315,regulation of histone H2A K63-linked ubiquitination,1
0,0.955167254,3,15,GO:0033184,positive regulation of histone ubiquitination,1
0,0.944853922,4,14,GO:0033210,leptin-mediated signaling pathway,1
0,0.91946777,2,56,GO:0033233,regulation of protein sumoylation,1
0,0.944853922,2,14,GO:0033234,negative regulation of protein sumoylation,1
0,0.762631971,2,39,GO:0033235,positive regulation of protein sumoylation,1
0,0.597977345,6,16,GO:0033239;GO:0045914;GO:0045963,negative regulation of cellular amine metabolic process,1
0,1,2,51,GO:0033260,nuclear DNA replication,1
0,0.934323633,6,37,GO:0033262,regulation of nuclear cell cycle DNA replication,1
