delta.rank,pval,level,nseqs,term,name,p.adj
0,1.72E-05,2,52,GO:1904666,regulation of ubiquitin protein ligase activity,0.002078129
0,1.79E-05,3,353,GO:0007030,Golgi organization,0.002131416
0,1.88E-05,5,267,GO:0002687,positive regulation of leukocyte migration,0.002212726
0,2.02E-05,3,68,GO:0071624;GO:0090023;GO:1902624,positive regulation of neutrophil migration,0.002351062
0,2.15E-05,2,1045,GO:0010256,endomembrane system organization,0.002468146
0,2.28E-05,2,120,GO:0032963,collagen metabolic process,0.002585812
0,2.34E-05,3,1009,GO:0051222;GO:1904951,positive regulation of establishment of protein localization,0.002624899
0,2.42E-05,2,1557,GO:0098542,defense response to other organism,0.002674252
0,2.60E-05,6,1546,GO:0051493,regulation of cytoskeleton organization,0.002837546
0,2.67E-05,2,911,GO:0071496,cellular response to external stimulus,0.002889888
0,2.95E-05,3,16,GO:0033860;GO:0033864,regulation of NAD(P)H oxidase activity,0.003078834
0,2.93E-05,2,653,GO:0043687,post-translational protein modification,0.003078834
0,2.90E-05,2,40,GO:0051305,chromosome movement towards spindle pole,0.003078834
0,3.25E-05,2,704,GO:0001819,positive regulation of cytokine production,0.003355552
0,3.35E-05,2,79,GO:0051452;GO:0045851,pH reduction,0.003419945
0,3.41E-05,2,171,GO:0071675,regulation of mononuclear cell migration,0.003441983
0,3.91E-05,5,503,GO:0007051,spindle organization,0.003908225
0,4.02E-05,3,539,GO:0045089;GO:0002833,positive regulation of response to biotic stimulus,0.00396586
0,4.14E-05,2,193,GO:0002495;GO:0002504;GO:0019886,antigen processing and presentation of peptide antigen via MHC class II,0.00404742
0,4.44E-05,2,949,GO:0045088;GO:0002831,regulation of response to biotic stimulus,0.004261871
0,4.46E-05,6,601,GO:0051783;GO:0007088,regulation of nuclear division,0.004261871
0,4.50E-05,2,49,GO:0060143;GO:1901741,positive regulation of syncytium formation by plasma membrane fusion,0.004261871
0,4.55E-05,2,861,GO:0051056,regulation of small GTPase mediated signal transduction,0.004267966
0,4.91E-05,2,57,GO:0000022;GO:0051231,spindle elongation,0.004559493
0,5.15E-05,4,269,GO:0071260,cellular response to mechanical stimulus,0.004734773
0,5.27E-05,2,302,GO:0000281,mitotic cytokinesis,0.004790755
0,5.42E-05,4,29,GO:0010885,regulation of cholesterol storage,0.004833758
0,5.37E-05,2,715,GO:0031349,positive regulation of defense response,0.004833758
0,5.66E-05,3,741,GO:0002253;GO:0002757;GO:0002764,activation of immune response,0.004996626
0,5.71E-05,2,91,GO:0007112,male meiosis cytokinesis,0.004996626
0,5.89E-05,4,1294,GO:0043434;GO:1901652,response to peptide,0.005077678
0,5.92E-05,4,1600,GO:0060627,regulation of vesicle-mediated transport,0.005077678
0,6.28E-05,3,608,GO:0034599;GO:0062197,cellular response to chemical stress,0.005342609
0,6.41E-05,4,119,GO:0060142;GO:1901739,regulation of syncytium formation by plasma membrane fusion,0.005404137
0,6.54E-05,2,1166,GO:0071396,cellular response to lipid,0.005457809
0,6.68E-05,4,501,GO:0002790;GO:0009306;GO:0035592;GO:0071692,peptide secretion,0.005524643
0,7.25E-05,4,1156,GO:0001817,regulation of cytokine production,0.005895798
0,7.21E-05,5,59,GO:0009065,glutamine family amino acid catabolic process,0.005895798
0,7.54E-05,2,296,GO:0007349,cellularization,0.005943824
0,7.57E-05,2,169,GO:0030433;GO:0036503,ERAD pathway,0.005943824
0,7.45E-05,3,263,GO:0030838,positive regulation of actin filament polymerization,0.005943824
0,7.64E-05,3,102,GO:0036498,IRE1-mediated unfolded protein response,0.005943824
0,7.45E-05,2,263,GO:0051225,spindle assembly,0.005943824
0,7.85E-05,5,37,GO:0007091;GO:0044784,metaphase/anaphase transition of cell cycle,0.005993681
0,7.90E-05,3,5,GO:0010963,regulation of L-arginine import,0.005993681
0,7.85E-05,2,37,GO:0070102,interleukin-6-mediated signaling pathway,0.005993681
0,8.06E-05,5,140,GO:0006826,iron ion transport,0.006033817
0,8.08E-05,5,1081,GO:0032386,regulation of intracellular transport,0.006033817
0,8.30E-05,2,1965,GO:0009057;GO:0044265,macromolecule catabolic process,0.006150771
0,8.67E-05,2,60,GO:0002691,regulation of cellular extravasation,0.006369849
0,9.35E-05,6,223,GO:0007140,male meiotic nuclear division,0.006765276
0,9.34E-05,6,77,GO:0035722;GO:0070671;GO:0071349,response to interleukin-12,0.006765276
0,9.63E-05,2,1590,GO:0071417;GO:1901699,cellular response to nitrogen compound,0.006907187
0,0.000100933,2,742,GO:0002697,regulation of immune effector process,0.006933895
0,0.000101159,2,172,GO:0006487,protein N-linked glycosylation,0.006933895
0,9.98E-05,4,1890,GO:0006915;GO:0012501;GO:0008219,cell death,0.006933895
0,9.94E-05,2,1035,GO:0006979,response to oxidative stress,0.006933895
0,9.75E-05,5,356,GO:0070555;GO:0071347,response to interleukin-1,0.006933895
0,0.000101159,2,172,GO:2000106,regulation of leukocyte apoptotic process,0.006933895
0,0.000110112,3,225,GO:0032680;GO:1903555,regulation of tumor necrosis factor superfamily cytokine production,0.007491683
0,0.000110959,5,463,GO:0006898,receptor-mediated endocytosis,0.007493836
0,0.000115624,2,1610,GO:0031667;GO:0009991,response to extracellular stimulus,0.007680061
0,0.000117898,2,70,GO:0032653;GO:0032733,regulation of interleukin-10 production,0.007680061
0,0.000115593,5,572,GO:0033500;GO:0042593,carbohydrate homeostasis,0.007680061
0,0.00011767,4,1828,GO:0051223;GO:0070201;GO:0090087,regulation of peptide transport,0.007680061
