delta.rank,pval,level,nseqs,term,name,p.adj,,,,,,,
0,0.015797487,2,179,GO:0032570,response to progesterone,0.707804494,,,,,,,
0,0.015902115,2,328,GO:0044272,sulfur compound biosynthetic process,0.709033634,,,,,,,
0,0.016149248,2,66,GO:0040009,regulation of growth rate,0.716574111,,,,,,,
0,0.017086128,3,68,GO:0009595,detection of biotic stimulus,0.729940685,,,,,,,
0,0.01756308,5,69,GO:0019433;GO:0046464;GO:0046461,neutral lipid catabolic process,0.729940685,,,,,,,
0,0.01756308,6,69,GO:0030835,negative regulation of actin filament depolymerization,0.729940685,,,,,,,
0,0.016614838,2,67,GO:0035036;GO:0007339,sperm-egg recognition,0.729940685,,,,,,,
0,0.017476034,4,6,GO:0045764,positive regulation of cellular amino acid metabolic process,0.729940685,,,,,,,
0,0.016614838,2,67,GO:0046164,alcohol catabolic process,0.729940685,,,,,,,
0,0.017476034,2,6,GO:0051595,response to methylglyoxal,0.729940685,,,,,,,
0,0.017476034,3,6,GO:0061055,myotome development,0.729940685,,,,,,,
0,0.017476034,2,6,GO:0061428,negative regulation of transcription from RNA polymerase II promoter in response to hypoxia,0.729940685,,,,,,,
0,0.017476034,3,6,GO:1900450;GO:1904782,negative regulation of glutamate receptor signaling pathway,0.729940685,,,,,,,
0,0.017476034,5,6,GO:1902774,late endosome to lysosome transport,0.729940685,,,,,,,
0,0.017476034,3,6,GO:1902822;GO:1903335,regulation of vacuolar transport,0.729940685,,,,,,,
0,0.017476034,3,6,GO:1903179;GO:1903181,regulation of dopamine biosynthetic process,0.729940685,,,,,,,
0,0.017476034,4,6,GO:2000275,regulation of oxidative phosphorylation uncoupler activity,0.729940685,,,,,,,
0,0.018040277,3,710,GO:0002237;GO:0032496,response to molecule of bacterial origin,0.739952557,,,,,,,
0,0.018045658,2,70,GO:0019054;GO:0044068,modulation by symbiont of host cellular process,0.739952557,,,,,,,
0,0.017978173,3,188,GO:0045843;GO:0048635;GO:1901862,negative regulation of muscle organ development,0.739952557,,,,,,,
0,0.01823031,2,189,GO:0035094,response to nicotine,0.744201765,,,,,,,
0,0.018533827,3,71,GO:0031640;GO:0044364,disruption of cells of other organism,0.749925978,,,,,,,
0,0.018484419,3,190,GO:0046627;GO:1900077,negative regulation of cellular response to insulin stimulus,0.749925978,,,,,,,
0,0.019074809,2,1146,GO:0008610,lipid biosynthetic process,0.768430351,,,,,,,
0,0.019161053,2,928,GO:0010259;GO:0008340,multicellular organism aging,0.768533948,,,,,,,
0,0.01959284,3,528,GO:0006631,fatty acid metabolic process,0.779048632,,,,,,,
0,0.019526788,2,73,GO:0048147,negative regulation of fibroblast proliferation,0.779048632,,,,,,,
0,0.020359239,3,7,GO:0001744,optic lobe placode formation,0.789027878,,,,,,,
0,0.020359239,2,7,GO:0035801;GO:0035802,adrenal cortex development,0.789027878,,,,,,,
0,0.02003151,2,74,GO:0046940,nucleoside monophosphate phosphorylation,0.789027878,,,,,,,
0,0.020313123,2,533,GO:0048640,negative regulation of developmental growth,0.789027878,,,,,,,
0,0.020359239,6,7,GO:0051583;GO:0051934,dopamine uptake involved in synaptic transmission,0.789027878,,,,,,,
0,0.020359239,3,7,GO:1904145,negative regulation of meiotic cell cycle process involved in oocyte maturation,0.789027878,,,,,,,
0,0.021134156,2,200,GO:0006633,fatty acid biosynthetic process,0.815618579,,,,,,,
0,0.021350473,2,540,GO:0006066,alcohol metabolic process,0.820519225,,,,,,,
0,0.021578213,3,77,GO:0000096,sulfur amino acid metabolic process,0.82581619,,,,,,,
0,0.023234088,2,8,GO:0006127,glycerophosphate shuttle,0.840177543,,,,,,,
0,0.022533218,6,205,GO:0006637;GO:0033875;GO:0034032;GO:0035383;GO:0033865,ribonucleoside bisphosphate metabolic process,0.840177543,,,,,,,
0,0.022249445,3,204,GO:0010676;GO:0045913,positive regulation of carbohydrate metabolic process,0.840177543,,,,,,,
0,0.023234088,2,8,GO:0018171,peptidyl-cysteine oxidation,0.840177543,,,,,,,
0,0.023234088,3,8,GO:0034309;GO:0032341;GO:0032342;GO:0034650;GO:0034651;GO:1902645,primary alcohol biosynthetic process,0.840177543,,,,,,,
0,0.023234088,2,8,GO:0035271,ring gland development,0.840177543,,,,,,,
0,0.02263611,2,79,GO:0043094,cellular metabolic compound salvage,0.840177543,,,,,,,
0,0.023172523,4,1661,GO:0044057,regulation of system process,0.840177543,,,,,,,
0,0.023172982,2,80,GO:0051125,regulation of actin nucleation,0.840177543,,,,,,,
0,0.023234088,3,8,GO:0072095,regulation of branch elongation involved in ureteric bud branching,0.840177543,,,,,,,
0,0.023234088,2,8,GO:0090191,negative regulation of branching involved in ureteric bud morphogenesis,0.840177543,,,,,,,
0,0.023234088,4,8,GO:1903377,negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway,0.840177543,,,,,,,
0,0.023234088,2,8,GO:2000825,positive regulation of androgen receptor activity,0.840177543,,,,,,,
0,0.02371509,2,81,GO:0072595,maintenance of protein localization in organelle,0.854208253,,,,,,,
0,0.024795604,4,376,GO:0010466;GO:0010951,negative regulation of peptidase activity,0.883428864,,,,,,,
0,0.024814877,3,83,GO:0010614;GO:0014741,negative regulation of muscle hypertrophy,0.883428864,,,,,,,
0,0.024814877,2,83,GO:0046513,ceramide biosynthetic process,0.883428864,,,,,,,
0,0.026100605,5,9,GO:0006069,ethanol oxidation,0.884627532,,,,,,,
0,0.026100605,2,9,GO:0006973,intracellular accumulation of glycerol,0.884627532,,,,,,,
0,0.025372487,3,84,GO:0030536,larval feeding behavior,0.884627532,,,,,,,
0,0.026100605,5,9,GO:0038107;GO:1900094;GO:1900164,nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry,0.884627532,,,,,,,
0,0.026100605,5,9,GO:0070940,dephosphorylation of RNA polymerase II C-terminal domain,0.884627532,,,,,,,
0,0.026100605,2,9,GO:0071259,cellular response to magnetism,0.884627532,,,,,,,
0,0.026100605,3,9,GO:0072106;GO:0072107;GO:1905278,positive regulation of ureteric bud formation,0.884627532,,,,,,,
0,0.026100605,6,9,GO:0072191;GO:0072193,ureter smooth muscle development,0.884627532,,,,,,,
0,0.02602339,3,989,GO:1901615,organic hydroxy compound metabolic process,0.884627532,,,,,,,
0,0.025639428,4,770,GO:1901654,response to ketone,0.884627532,,,,,,,
0,0.026100605,2,9,GO:1901668;GO:1901671;GO:1904833,regulation of superoxide dismutase activity,0.884627532,,,,,,,
0,0.026100605,2,9,GO:1903860,negative regulation of dendrite extension,0.884627532,,,,,,,
0,0.026100605,2,9,GO:1905446;GO:1905448,regulation of mitochondrial ATP synthesis coupled electron transport,0.884627532,,,,,,,
0,0.02650297,2,86,GO:0022611,dormancy process,0.894962434,,,,,,,
0,0.026646552,4,777,GO:0051346,negative regulation of hydrolase activity,0.896514934,,,,,,,
0,0.027075776,3,87,GO:0035994,response to muscle stretch,0.907313761,,,,,,,
0,0.027165083,2,2210,GO:0044255;GO:0006629,lipid metabolic process,0.907313761,,,,,,,
0,0.027660221,3,222,GO:1901568,fatty acid derivative metabolic process,0.920504107,,,,,,,
0,0.028958816,2,10,GO:0072513,positive regulation of secondary heart field cardioblast proliferation,0.949952577,,,,,,,
